Régions ou groupes de départements,N° des départements,0ZAB
Alsace ,"67, 68",03 67
Aquitaine ,"24, 33, 40, 47, 64",05 64
Ain (1) + Ardèche +  Drôme + Loire + Rhône (2),"01, 07, 26, 42, 69",04 28
Auvergne ,"03, 15, 43, 63",04 15 et 04 44
Basse Normandie ,"14, 50, 61",02 61
Bourgogne ,"21, 58, 71, 89",03 73
Bretagne ,"22, 29, 35, 56",02 57
Centre ,"18, 28, 36, 37, 41, 45",02 46
Champagne – Ardenne ,"08, 10, 51, 52",03 52
Corse ,20,04 20
Côte d'Azur ,"06, 83",04 22
Franche Comté ,"25, 39, 70, 90",03 39
Guadeloupe,971,05 90
Guyane,973,05 94
Haute Normandie ,"27, 76",02 79
Ile de France,"75, 77, 78, 91, 92, 93, 94, 95",01 85
Isère (3) + Savoie (4) ,"38, 73, 74",04 58 et 04 85
Languedoc Roussillon ,"11, 30, 34, 48, 66",04 48
Limousin ,"19, 23, 87",05 19 et 05 87
Lorraine ,"54, 55, 57, 88",03 72
Martinique,972,05 96
Mayotte,975,02 69
Midi Pyrénées ,"09, 12, 31, 32, 46, 65, 81, 82",05 36
Nord Pas-de-Calais ,"59, 62",03 74
Pays de la Loire ,"44, 49, 53, 72, 85",02 52
Picardie ,"02, 60, 80",03 75
Poitou Charente ,"16, 17, 79, 86",05 86
Provence ,"13, 84, 04, 05",04 65
Réunion,974,02 62
Saint-Pierre et Miquelon,TOM,05 08
,,
,,
(1),Sauf ZNE de Belley et de Bellegarde,
(2),Plus ZNE de Bourgoin et de Vienne,
(3),Sauf ZNE de Bourgoin et de Vienne,
(4),Plus ZNE de Belley et de Bellegarde,
,,
,,
Mise à jour : ,2013-03-19 00:00:00,
